OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3317,BARKHAMSTED RESERVOIR (id:14796),1989,147961989,0,0,0,0,0,7,22,0,0,0,0,2,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,21,0,0,15,0,0,0,1,0,0,0,0,0,10,59,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,17,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3318,BARKHAMSTED RESERVOIR (id:14796),1991,147961991,0,0,0,9,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,8,0,0,0,6,0,0,0,0,0,16,55,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3319,BARKHAMSTED RESERVOIR (id:14796),1993,147961993,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,4,113,0,0,0,0,0,0,0,0,138,0,2,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,BARKHAMSTED RESERVOIR (id:14796),2001,147962001,0,0,0,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,105,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,5,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3321,BARKHAMSTED RESERVOIR (id:14796),2012,147962012,0,0,0,0,0,1,254,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,5,0,0,0,40,0,0,0,0,0,33,91,0,0,0,0,0,0,0,0,58,0,7,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3322,BARKHAMSTED RESERVOIR (id:14796),2016,147962016,0,0,0,0,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,0,0,0,0,12,84,0,0,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
661,MALLORY BROOK (id:14819),1988,148191988,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,129,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,4,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,MALLORY BROOK (id:14819),1999,148191999,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,MALLORY BROOK (id:14819),2008,148192008,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,MALLORY BROOK (id:14819),2010,148192010,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
