OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
487,HOP RIVER (id:14586),2009,145862009,0,0,0,0,0,0,7,0,0,9,0,1,0,0,0,0,0,0,0,2,0,3,28,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,HOP RIVER (id:14586),2014,145862014,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,TENMILE RIVER (id:14587),2004,145872004,0,0,0,0,0,0,9,0,0,53,0,5,0,0,0,0,0,0,0,0,0,220,55,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,TENMILE RIVER (id:14587),2009,145872009,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,143,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,TENMILE RIVER (id:14587),2014,145872014,0,0,0,0,0,0,3,0,0,74,0,1,0,0,0,0,0,0,0,0,0,35,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,GIFFORDS BROOK (id:16689),1994,166891994,0,0,0,1,0,0,18,0,4,70,0,0,0,0,0,0,0,0,0,3,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,HOP RIVER (id:16749),1994,167491994,5,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,4,0,8,54,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,32,0,0,0,0,0,0,8,0,7,0,0,0,0,0,3,0,0,0,0,43,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,TENMILE RIVER (id:17110),1994,171101994,0,0,0,0,0,0,2,0,0,118,0,0,0,0,0,0,0,0,0,0,0,103,99,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2644,COLUMBIA LAKE BROOK (id:17465),2009,174652009,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2662,TENMILE RIVER (id:17559),2014,175592014,0,0,0,0,0,0,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,45,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2736,CLARKS BROOK (id:17806),2009,178062009,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3857,COLUMBIA LAKE (id:18201),2004,182012004,0,0,0,3,0,0,139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,0,0,0,0,0,84,0,0,14,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,75,3,0,33,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4197,MONO POND (id:19345),1999,193451999,0,0,0,126,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
