OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
472,WILLIMANTIC RIVER (id:14582),1994,145821994,4,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,6,0,151,214,0,0,0,5,11,0,0,0,0,0,0,2,0,0,0,0,0,3,10,0,21,0,0,0,0,0,0,57,13,18,0,0,0,0,0,0,0,0,0,0,137,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,WILLIMANTIC RIVER (id:14582),2000,145822000,1,0,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,6,0,99,213,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,29,4,0,0,0,0,0,106,0,5,0,0,0,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,WILLIMANTIC RIVER (id:14582),2009,145822009,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,4,0,79,49,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,1,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,WILLIMANTIC RIVER (id:14582),2011,145822011,1,0,0,0,0,0,13,0,0,1,0,2,0,0,0,0,0,0,0,2,0,49,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,SKUNGAMAUG RIVER (id:14585),1994,145851994,4,0,0,0,0,0,0,0,0,138,0,5,0,0,0,0,0,0,0,0,5,114,120,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,SKUNGAMAUG RIVER (id:14585),2009,145852009,0,0,0,1,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,1,0,98,53,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,31,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,SKUNGAMAUG RIVER (id:14585),2014,145852014,0,0,0,0,0,0,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,57,155,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,HOP RIVER (id:15522),2004,155222004,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,10,102,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,2,0,9,2,0,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,SKUNGAMAUG RIVER (id:16284),1994,162841994,0,0,0,0,0,0,7,0,0,94,0,5,0,0,0,0,0,0,0,0,0,26,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1518,SKUNGAMAUG RIVER (id:16284),2009,162842009,0,0,0,0,0,0,9,0,0,69,0,3,0,0,0,0,0,0,0,0,0,34,32,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
