OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
876,EIGHTMILE RIVER (id:15179),1989,151791989,69,0,0,0,0,0,0,0,0,26,0,13,0,0,0,0,0,1,0,0,0,52,48,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,12,0,5,0,0,0,0,0,0,12,0,0,26,0,0,0,0,0,2,4,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,EIGHTMILE RIVER (id:15179),2009,151792009,82,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,EIGHTMILE RIVER (id:15179),2014,151792014,48,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,17,68,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,BURNHAMS BROOK (id:15315),2007,153152007,15,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,BURNHAMS BROOK (id:15315),2011,153152011,1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,BURNHAMS BROOK (id:15315),2013,153152013,9,0,0,0,0,0,1,0,0,130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4639,BURNHAMS BROOK (id:15315),2016,153152016,6,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3377,HAYWARD LAKE (id:15626),1989,156261989,23,0,0,6,1,0,132,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,18,0,0,0,0,0,0,85,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,HAYWARD LAKE (id:15626),1991,156261991,36,0,0,0,11,0,253,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,6,0,0,14,0,0,0,213,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3379,HAYWARD LAKE (id:15626),1997,156261997,33,0,0,2,10,2,385,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,6,0,0,0,120,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3380,HAYWARD LAKE (id:15626),1998,156261998,32,0,0,12,27,8,340,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4,0,0,6,0,0,0,51,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3381,HAYWARD LAKE (id:15626),1999,156261999,10,0,0,3,58,1,362,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,9,0,0,10,0,0,0,62,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,HAYWARD LAKE (id:15626),2000,156262000,15,0,0,4,40,2,311,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3383,HAYWARD LAKE (id:15626),2001,156262001,10,0,0,0,29,10,374,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13,0,0,14,0,0,0,44,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3384,HAYWARD LAKE (id:15626),2003,156262003,8,0,0,0,4,8,347,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,7,0,0,8,0,0,0,71,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3385,HAYWARD LAKE (id:15626),2005,156262005,4,0,0,0,2,2,228,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,16,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3386,HAYWARD LAKE (id:15626),2006,156262006,31,0,0,1,129,8,827,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,30,0,0,10,0,0,0,143,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3387,HAYWARD LAKE (id:15626),2007,156262007,41,0,0,0,1,0,269,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,6,0,0,0,94,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3388,HAYWARD LAKE (id:15626),2008,156262008,20,0,0,0,46,3,980,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,13,0,0,7,0,0,0,127,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3389,HAYWARD LAKE (id:15626),2009,156262009,26,0,0,0,9,3,521,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4,0,0,4,0,0,0,73,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3390,HAYWARD LAKE (id:15626),2012,156262012,18,0,0,0,12,1,561,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,10,0,0,0,242,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4704,HAYWARD LAKE (id:15626),2016,156262016,14,0,0,1,8,0,592,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,23,0,0,0,289,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,CT7  HADDAM    CTRIVER (id:15814),1988,158141988,20,1,18,0,1,0,0,42,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,47,29,0,112,0,0,0,0,0,0,33,160,0,0,0,0,0,0,0,0,6,112,0,52,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3481,CT7  HADDAM    CTRIVER (id:15814),2003,158142003,1,0,15,7,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,11,0,0,13,0,0,246,67,0,75,0,0,0,0,0,0,16,557,4,0,0,0,0,0,0,0,1,104,0,21,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
3482,CT7  HADDAM    CTRIVER (id:15814),2004,158142004,4,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,19,0,0,1,0,0,44,10,0,2,0,0,0,0,0,0,2,177,5,0,0,0,0,0,0,0,0,6,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3483,CT7  HADDAM    CTRIVER (id:15814),2007,158142007,18,0,26,9,19,0,4,158,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,4,0,1,18,0,0,0,26,0,0,5,0,0,72,4,0,10,0,0,0,0,0,0,1,234,6,0,0,0,0,0,0,0,0,0,0,12,0,133,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0
3484,CT7  HADDAM    CTRIVER (id:15814),2011,158142011,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,93,1,0,0,0,0,0,0,0,0,8,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4698,CT7  HADDAM    CTRIVER (id:15814),2016,158142016,7,0,47,36,6,3,22,9,0,0,0,0,0,0,3,7,4,0,0,1,0,0,0,0,0,0,0,6,0,1,40,0,0,0,70,0,0,4,0,0,99,1,0,0,0,0,0,0,0,0,6,263,2,0,0,0,0,0,0,0,0,0,0,2,0,106,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
