OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
280,POCOTOPAUG CREEK (id:14400),2000,144002000,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,POCOTOPAUG CREEK (id:14400),2009,144002009,5,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,POCOTOPAUG CREEK (id:14400),2012,144002012,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,POCOTOPAUG CREEK (id:14401),2000,144012000,14,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,POCOTOPAUG CREEK (id:14401),2009,144012009,16,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,SALMON RIVER (id:14440),1989,144401989,110,0,0,1,0,0,2,0,1,11,0,4,0,0,0,0,0,0,0,2,0,82,2,0,0,0,0,0,0,0,1,0,95,0,3,0,0,0,0,0,1,0,0,0,2,469,0,0,0,5,50,0,12,0,0,0,0,0,6,10,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3263,POCOTOPAUG LAKE (id:14614),1993,146141993,8,0,0,0,0,0,222,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,46,51,0,21,0,0,0,0,0,0,117,0,2,0,0,0,0,0,0,0,0,223,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3264,POCOTOPAUG LAKE (id:14614),2000,146142000,17,0,0,9,2,0,180,0,0,0,0,0,0,0,0,17,0,0,0,62,0,1,0,0,0,0,0,20,0,0,30,0,0,0,41,0,0,0,0,0,252,38,0,10,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,696,0,3,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3265,POCOTOPAUG LAKE (id:14614),2002,146142002,3,0,0,3,0,0,117,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,93,6,0,12,0,0,0,0,0,0,17,0,2,0,0,0,0,1,0,0,0,345,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3266,POCOTOPAUG LAKE (id:14614),2003,146142003,5,0,0,23,0,0,65,0,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,15,0,0,0,0,0,80,13,0,19,0,0,0,0,0,0,31,0,1,0,0,0,0,6,0,0,0,323,0,4,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
