OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
616,SUSQUETONSCUT BROOK (id:14739),1993,147391993,2,0,0,1,0,0,0,0,1,107,0,2,0,0,0,0,0,0,0,5,0,75,24,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,1,0,52,0,0,0,0,0,2,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,SUSQUETONSCUT BROOK (id:14739),2001,147392001,0,0,0,0,0,0,0,0,0,181,0,1,0,0,0,0,0,0,0,8,0,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,SUSQUETONSCUT BROOK (id:14739),2010,147392010,0,0,0,0,0,0,1,0,0,254,0,1,0,0,0,0,0,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,11,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,SUSQUETONSCUT BROOK (id:14739),2014,147392014,0,0,0,1,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,BEAVER BROOK (id:16495),1993,164951993,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,BEAVER BROOK (id:16495),2009,164952009,1,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,ELISHA BROOK (id:16640),1993,166401993,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,ELISHA BROOK (id:16640),2007,166402007,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149,MCCARTHYS BROOK (id:16833),1993,168331993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,MCCARTHYS BROOK (id:16833),2013,168332013,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
