OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3634,TYLER LAKE (id:16011),1989,160111989,0,0,0,6,7,3,6,0,0,0,0,1,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,9,0,0,1,0,0,0,11,0,0,0,0,0,169,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635,TYLER LAKE (id:16011),1991,160111991,0,0,0,50,2,21,144,0,0,0,0,4,0,0,0,0,0,5,0,53,0,0,0,0,0,0,0,30,0,0,0,0,0,0,110,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3636,TYLER LAKE (id:16011),1994,160111994,0,0,0,16,1,2,40,0,0,0,0,9,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,27,0,0,0,0,0,95,60,0,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3637,TYLER LAKE (id:16011),1998,160111998,0,0,0,6,10,1,21,0,0,0,0,6,0,0,0,0,0,2,0,74,0,0,0,0,0,0,0,23,0,0,0,0,0,0,27,0,0,0,0,0,69,37,0,8,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3638,TYLER LAKE (id:16011),2001,160112001,0,0,0,18,0,13,28,0,7,0,0,6,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,40,0,0,0,0,0,47,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3639,TYLER LAKE (id:16011),2003,160112003,0,0,0,5,23,0,330,0,5,0,0,16,0,0,0,0,0,4,0,106,0,0,0,0,0,0,0,34,0,0,1,0,0,0,68,0,0,0,0,0,97,212,0,8,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3640,TYLER LAKE (id:16011),2004,160112004,0,0,0,48,5,0,182,0,4,0,0,38,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,20,0,0,0,0,0,0,49,0,0,0,0,0,171,106,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3641,TYLER LAKE (id:16011),2006,160112006,0,0,0,10,40,3,248,0,0,0,0,0,0,0,0,0,0,22,0,101,0,0,0,0,0,0,0,31,0,0,0,0,0,0,45,0,0,0,0,0,84,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3642,TYLER LAKE (id:16011),2013,160112013,0,0,0,44,33,2,211,0,0,0,0,2,0,0,0,0,0,19,0,136,0,0,0,0,0,0,0,24,0,0,0,0,0,0,49,0,0,0,0,0,116,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4824,TYLER LAKE (id:16011),2017,160112017,0,0,0,8,20,16,363,0,0,0,0,0,0,0,0,0,0,6,0,169,0,0,0,0,0,0,0,4,0,0,0,0,0,0,80,0,0,0,0,0,160,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,BEAR SWAMP OUTFLOW (id:16491),1992,164911992,0,0,0,57,0,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,120,13,0,25,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,EAST BRANCH SHEPAUG RIVER (id:16630),1992,166301992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,FOX BROOK (id:16675),1992,166751992,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,213,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,HART BROOK (id:16726),1992,167261992,0,0,0,8,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,IVY MOUNTAIN BROOK (id:16778),1992,167781992,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,83,105,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,IVY MOUNTAIN BROOK (id:16778),2011,167782011,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2183,MOHAWK POND OUTFLOW (id:16857),1992,168571992,0,0,0,5,0,0,5,0,1,56,0,0,0,0,0,0,0,0,0,0,101,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4485,MOHAWK POND OUTFLOW (id:16857),2015,168572015,0,0,0,2,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,92,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2259,OCAIN BROOK (id:16929),1992,169291992,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,SUCKER BROOK (id:17091),1992,170911992,0,0,0,8,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509,NICKELMINE BROOK- TRIBUTARY TO (id:17156),1992,171561992,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3949,WEST SIDE POND (id:19028),1993,190281993,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,48,0,0,0,0,0,48,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950,WEST SIDE POND (id:19028),1997,190281997,0,0,0,1,4,0,44,0,0,0,0,0,0,0,0,0,0,8,0,32,0,0,0,0,0,0,0,17,0,0,0,0,0,0,33,0,0,0,0,0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3951,WEST SIDE POND (id:19028),1998,190281998,0,0,0,4,1,0,26,0,0,0,0,2,0,0,0,0,0,8,0,39,0,0,0,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,0,17,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
