OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
517,QUINEBAUG RIVER (id:14598),2009,145982009,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,6,0,75,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,QUINEBAUG RIVER (id:14598),2010,145982010,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,60,4,43,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3289,ASPINOOK POND (id:14665),1989,146651989,1,0,0,0,67,0,218,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,50,0,0,0,0,0,21,0,0,58,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,152,0,48,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3290,ASPINOOK POND (id:14665),1991,146651991,1,0,0,8,79,0,189,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,53,0,0,0,0,0,38,0,0,28,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,225,0,95,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3291,ASPINOOK POND (id:14665),1993,146651993,4,0,0,0,6,0,95,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,35,0,0,0,0,0,0,3,87,0,0,0,0,0,0,0,0,1,81,0,13,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3292,ASPINOOK POND (id:14665),2002,146652002,2,0,0,0,27,0,205,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,64,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,246,0,48,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3293,ASPINOOK POND (id:14665),2003,146652003,1,0,0,3,8,0,64,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,44,0,22,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3294,ASPINOOK POND (id:14665),2011,146652011,0,1,0,6,45,0,246,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,1,38,0,0,0,0,0,0,47,0,0,0,0,0,83,0,0,16,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,312,0,82,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3295,ASPINOOK POND (id:14665),2014,146652014,1,0,0,3,39,0,235,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,93,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,310,0,44,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3296,ASPINOOK POND (id:14665),2015,146652015,2,0,0,4,34,0,399,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,0,0,0,123,0,0,40,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,1,96,0,26,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
