OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
36,EAST BRANCH EIGHTMILE RIVER (id:14174),2009,141742009,77,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,10,0,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,EAST BRANCH EIGHTMILE RIVER (id:14174),2010,141742010,41,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7,24,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,3,4,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,EAST BRANCH EIGHTMILE RIVER (id:14174),2012,141742012,76,0,0,0,0,0,10,0,0,4,0,1,0,0,0,0,0,0,0,1,0,10,127,0,0,0,0,0,0,0,0,0,8,0,19,0,0,0,0,0,11,0,4,19,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,EAST BRANCH EIGHTMILE RIVER (id:14174),2014,141742014,110,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,33,115,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,9,0,0,19,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,EIGHTMILE RIVER (id:14187),1989,141871989,65,0,0,1,0,0,22,0,1,5,0,0,0,0,0,0,0,0,0,4,0,23,5,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,8,0,9,0,0,0,0,0,0,84,0,0,44,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,EIGHTMILE RIVER (id:14187),2009,141872009,17,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,29,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,EIGHTMILE RIVER (id:14187),2012,141872012,125,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,5,0,152,92,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,1,5,0,8,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,EIGHTMILE RIVER (id:15020),2003,150202003,83,0,0,0,0,0,10,0,0,24,0,2,0,0,0,0,0,1,0,3,0,109,34,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,1,8,0,7,4,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,45,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,EIGHTMILE RIVER (id:15020),2010,150202010,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,EIGHTMILE RIVER (id:15020),2012,150202012,37,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,120,34,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,3,0,2,4,0,12,0,0,0,26,0,0,11,0,0,0,0,0,12,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4738,EIGHTMILE RIVER (id:15020),2017,150202017,82,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,48,54,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
