OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
68,FRENCH RIVER (id:14207),1994,142071994,44,0,0,0,0,0,47,0,0,2,0,0,0,0,0,0,0,0,0,5,0,7,44,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,51,0,0,2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,47,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2709,WHITING RIVER (id:17752),2011,177522011,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,39,53,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3779,CONGAMOND LAKE (id:18152),1991,181521991,54,102,0,61,1,0,349,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,125,0,0,0,0,0,48,7,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3780,CONGAMOND LAKE (id:18152),1992,181521992,34,38,0,12,0,0,282,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,29,6,0,0,38,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781,CONGAMOND LAKE (id:18152),2003,181522003,29,29,0,11,0,0,581,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,128,0,0,0,0,0,141,6,0,0,11,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3782,CONGAMOND LAKE (id:18152),2011,181522011,24,50,0,77,0,0,420,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,78,17,0,0,6,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3783,CONGAMOND LAKE (id:18152),2014,181522014,2,40,0,113,0,0,636,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,204,0,0,0,0,0,102,13,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4793,CONGAMOND LAKE (id:18152),2017,181522017,10,165,0,122,0,0,820,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,0,0,0,0,171,33,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036,COLEBROOK RESERVOIR (id:19309),1993,193091993,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,20,0,0,8,0,0,0,0,0,27,43,0,0,0,0,0,0,0,0,0,0,0,91,0,79,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
4037,COLEBROOK RESERVOIR (id:19309),1995,193091995,0,0,0,5,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,0,0,5,0,0,0,0,0,64,73,0,0,0,0,0,0,0,0,1,0,0,85,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
