OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
849,HOP BROOK (id:15132),2011,151322011,0,0,0,0,0,0,21,0,0,47,0,2,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,5,0,0,0,0,43,0,3,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,HOP BROOK (id:16748),1991,167481991,0,0,0,0,0,0,0,0,0,130,0,1,0,0,0,0,0,0,0,0,36,24,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,17,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,HOP BROOK (id:16748),2011,167482011,0,0,0,8,0,0,4,0,3,174,0,2,0,0,0,0,0,0,0,0,17,73,0,0,0,0,0,4,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,0,4,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,LONG SWAMP BROOK (id:16817),1991,168171991,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2681,SHATTUCK BROOK (id:17635),2011,176352011,0,0,0,2,0,0,4,0,0,77,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,5,0,0,0,0,39,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682,GOAT BROOK (id:17636),2011,176362011,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2683,HOP BROOK (id:17637),2011,176372011,0,0,0,0,0,0,4,0,0,104,0,0,0,0,0,0,0,0,0,0,66,12,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3961,QUASSAPAUG LAKE (id:19095),1989,190951989,1,49,0,10,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,70,0,0,0,0,0,118,0,0,64,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3962,QUASSAPAUG LAKE (id:19095),1992,190951992,4,133,0,8,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,139,0,0,0,0,0,32,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3963,QUASSAPAUG LAKE (id:19095),2004,190952004,0,47,0,0,5,2,265,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,17,0,0,0,89,0,0,0,0,0,63,0,0,107,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3964,QUASSAPAUG LAKE (id:19095),2011,190952011,1,102,0,1,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,10,0,0,0,80,0,0,0,0,0,40,24,0,28,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3965,QUASSAPAUG LAKE (id:19095),2016,190952016,2,0,0,0,1,1,221,0,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,7,0,0,14,0,0,0,52,0,0,0,0,0,52,0,0,1,7,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4631,EIGHTMILE BROOK (id:15106),2015,151062015,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
