OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
1896,EAST MORRIS BROOK (id:16632),1991,166321991,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,PITCH BROOK (id:16972),1991,169721991,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4563,PITCH BROOK (id:16972),2015,169722015,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,BANTAM RIVER- TRIBUTARY TO (id:17138),1992,171381992,0,0,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0,0,0,0,14,54,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2558,WHITTLESEY BROOK (id:17192),1992,171921992,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2559,WHITTLESEY BROOK (id:17192),2014,171922014,0,0,0,1,0,0,17,0,0,30,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930,BANTAM LAKE (id:18950),1988,189501988,0,0,0,8,3,0,37,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,27,0,0,0,0,0,28,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,285,0,74,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931,BANTAM LAKE (id:18950),1990,189501990,0,0,0,16,54,0,99,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,76,0,0,5,0,0,22,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,145,0,25,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3932,BANTAM LAKE (id:18950),1992,189501992,0,0,0,2,11,0,61,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,4,0,0,0,57,0,0,4,0,0,11,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,63,0,55,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,BANTAM LAKE (id:18950),1998,189501998,0,0,0,14,17,0,146,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,49,0,0,5,0,0,0,49,0,0,9,0,0,119,15,0,59,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,40,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3934,BANTAM LAKE (id:18950),2002,189502002,0,0,0,21,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,0,0,0,0,0,0,44,0,0,3,0,0,45,29,0,4,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,107,0,16,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3935,BANTAM LAKE (id:18950),2003,189502003,0,0,0,22,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,41,0,0,6,0,0,105,103,0,28,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,24,0,25,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
3936,BANTAM LAKE (id:18950),2004,189502004,0,0,0,22,0,0,230,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,4,0,0,105,139,0,50,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,20,0,2,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3937,BANTAM LAKE (id:18950),2005,189502005,0,0,0,18,3,0,96,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,41,0,0,0,0,0,0,21,0,0,1,0,0,117,105,0,26,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,79,0,29,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
