OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
424,WORDEN BROOK (id:14500),1991,145001991,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4479,WORDEN BROOK (id:14500),2015,145002015,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,CANDLEWOOD LAKE (id:14603),1988,146031988,0,174,0,6,3,0,412,0,0,0,0,36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,198,0,0,0,0,0,56,90,0,144,29,0,0,0,0,0,188,3,2,0,0,0,0,0,0,0,8,10,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3251,CANDLEWOOD LAKE (id:14603),1990,146031990,0,189,0,0,4,0,254,0,0,0,0,7,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,9,0,0,13,0,0,0,107,0,0,0,0,0,15,19,0,71,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,1,1,0,1,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3252,CANDLEWOOD LAKE (id:14603),1992,146031992,0,203,0,2,6,0,276,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,114,0,0,0,0,0,73,18,0,14,5,0,0,0,0,0,139,0,0,0,0,0,0,0,0,1,2,14,0,1,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3253,CANDLEWOOD LAKE (id:14603),1998,146031998,0,49,0,0,0,0,320,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,26,0,0,0,0,0,26,53,0,217,3,0,0,0,0,0,136,6,0,0,0,0,0,0,0,0,0,2,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3254,CANDLEWOOD LAKE (id:14603),1999,146031999,0,77,0,0,3,0,191,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,44,0,0,0,0,0,45,13,0,45,1,0,0,0,0,0,67,41,0,0,0,0,0,0,0,0,0,4,0,0,13,76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3255,CANDLEWOOD LAKE (id:14603),2002,146032002,0,286,0,0,0,0,442,0,0,0,35,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,24,0,0,0,0,0,62,47,0,54,1,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,6,0,0,6,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,CANDLEWOOD LAKE (id:14603),2003,146032003,0,287,0,0,1,0,969,0,3,0,28,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,131,0,0,0,0,0,138,72,0,126,5,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,1,0,1,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3257,CANDLEWOOD LAKE (id:14603),2005,146032005,0,279,0,1,0,0,445,0,0,0,74,12,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,85,0,0,0,0,0,109,44,0,140,3,0,0,0,0,0,237,0,1,0,0,0,0,0,0,0,1,11,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3258,CANDLEWOOD LAKE (id:14603),2009,146032009,0,235,0,1,0,0,856,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,41,0,0,0,0,0,107,66,0,116,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,2,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3259,CANDLEWOOD LAKE (id:14603),2010,146032010,0,304,0,0,1,0,1724,0,0,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,40,0,0,0,0,0,264,131,0,258,1,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,1,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3260,CANDLEWOOD LAKE (id:14603),2013,146032013,0,490,0,0,5,0,619,0,0,0,210,27,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,21,0,0,0,91,0,0,0,0,0,115,40,0,29,0,0,0,0,0,0,300,0,3,0,0,0,0,1,0,0,0,4,0,4,7,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3261,CANDLEWOOD LAKE (id:14603),2015,146032015,0,373,0,0,1,0,829,0,0,0,186,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,3,0,0,8,0,0,0,39,0,0,0,0,0,33,34,0,36,0,0,0,0,0,0,142,4,4,0,0,0,0,0,0,0,0,88,0,2,4,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3262,CANDLEWOOD LAKE (id:14603),2016,146032016,0,135,0,0,5,0,585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,37,17,0,1,0,0,0,0,0,0,41,8,0,0,0,0,0,0,0,0,0,160,0,0,2,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4790,CANDLEWOOD LAKE (id:14603),2017,146032017,0,577,0,0,20,0,927,0,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,54,0,0,0,0,0,84,34,0,24,0,0,0,0,0,0,83,4,0,0,0,0,0,0,0,0,0,411,0,2,3,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
