OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
519,MASHAMOQUET BROOK (id:14599),2004,145992004,7,0,0,0,0,0,0,0,1,46,0,7,0,0,0,0,0,0,0,0,0,21,2,0,0,0,1,0,0,0,0,0,21,0,3,0,0,0,0,0,1,3,0,19,1,0,0,0,0,0,2,0,10,0,0,0,0,0,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,MASHAMOQUET BROOK (id:14599),2005,145992005,7,0,0,0,0,0,0,0,0,145,0,2,0,0,0,0,0,0,0,0,0,41,44,0,0,0,1,6,0,0,0,0,112,0,5,0,0,0,0,0,15,0,0,12,2,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,MASHAMOQUET BROOK (id:14599),2008,145992008,11,0,0,20,0,0,3,0,3,50,0,2,0,0,0,0,0,0,0,0,0,7,88,0,0,0,5,0,0,0,0,0,56,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,MASHAMOQUET BROOK (id:14599),2009,145992009,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,104,28,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,MASHAMOQUET BROOK (id:14599),2014,145992014,1,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,3,0,32,23,0,0,0,3,0,0,0,0,0,34,0,43,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,MASHAMOQUET BROOK (id:14878),1994,148781994,0,0,0,3,0,0,7,0,0,65,0,1,0,0,0,0,0,0,0,9,0,51,91,0,0,0,4,6,0,0,0,0,49,0,3,0,0,0,0,0,24,0,0,86,0,0,0,0,0,0,0,44,73,0,0,0,0,0,0,0,0,0,0,103,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,MASHAMOQUET BROOK (id:14878),2002,148782002,3,0,0,0,0,0,11,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,2,0,0,0,59,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,14,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,WAPPOQUIA BROOK (id:15003),1994,150031994,3,0,0,0,0,0,0,0,4,117,0,0,0,0,0,0,0,0,0,1,0,52,13,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,WAPPOQUIA BROOK (id:15003),2003,150032003,1,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,WAPPOQUIA BROOK (id:15003),2014,150032014,1,0,0,0,0,0,2,0,0,189,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
