OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
245,NORWALK RIVER (id:14364),1999,143641999,21,0,0,21,0,0,8,0,0,8,0,0,0,0,0,0,0,0,111,0,91,0,0,0,0,0,2,6,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,NORWALK RIVER (id:14364),2006,143642006,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,SAUGATUCK RIVER (id:14444),1990,144441990,13,0,0,0,0,0,3,0,1,1,0,21,0,0,0,0,0,0,78,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,1,18,3,0,0,0,0,0,0,0,43,0,0,0,0,0,1,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,SAUGATUCK RIVER (id:14444),2000,144442000,9,0,0,12,0,0,16,0,2,3,0,2,0,0,0,0,0,0,23,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,20,0,4,14,0,0,0,0,0,1,0,92,0,0,0,0,4,0,13,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,SAUGATUCK RIVER (id:14444),2005,144442005,0,0,0,26,0,0,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,121,0,1,10,0,0,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,SAUGATUCK RIVER (id:14444),2006,144442006,1,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,SAUGATUCK RIVER (id:14444),2011,144442011,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,13,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,7,5,1,19,2,0,0,0,0,0,3,0,10,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,NORWALK RIVER (id:15079),2006,150792006,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,NORWALK RIVER (id:15079),2007,150792007,34,0,0,2,0,0,1,0,2,12,0,3,0,0,0,0,0,0,30,0,59,0,0,0,0,0,15,3,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,UMPAWAUG POND BROOK (id:16064),2007,160642007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
