OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3592,GARDNER LAKE (id:16008),1989,160081989,2,31,0,8,5,0,224,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,26,0,0,0,0,0,0,14,0,0,0,0,0,62,0,0,19,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,14,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3593,GARDNER LAKE (id:16008),1991,160081991,0,0,0,10,8,0,37,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,0,0,0,0,0,26,0,0,5,25,0,0,0,0,0,87,0,3,0,0,0,0,0,0,0,2,0,0,38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3594,GARDNER LAKE (id:16008),1992,160081992,1,0,0,46,31,0,70,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,31,0,0,39,0,0,0,31,0,0,0,0,0,59,0,0,70,27,0,0,0,0,0,271,0,13,0,0,0,0,0,0,0,33,0,0,119,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3595,GARDNER LAKE (id:16008),1993,160081993,3,0,0,78,5,0,61,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,26,0,0,0,18,0,0,0,0,0,37,0,0,25,13,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,34,0,0,112,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596,GARDNER LAKE (id:16008),1994,160081994,3,0,0,89,64,0,60,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,62,0,0,44,0,0,0,22,0,0,0,0,0,45,0,0,20,18,0,0,0,0,0,176,0,2,0,0,0,0,161,0,0,12,0,0,158,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3597,GARDNER LAKE (id:16008),1995,160081995,3,1,0,23,41,0,53,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,13,0,0,21,27,0,0,0,0,0,87,0,1,0,0,0,0,65,0,0,6,0,0,96,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3598,GARDNER LAKE (id:16008),1996,160081996,1,0,0,106,41,0,85,0,0,0,0,11,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,12,0,0,2,0,0,0,26,0,0,0,0,0,44,0,0,18,51,0,0,0,0,0,96,0,1,0,0,0,0,28,0,0,7,0,0,62,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3599,GARDNER LAKE (id:16008),1997,160081997,1,0,0,46,18,0,79,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,8,0,0,0,21,0,0,0,0,0,39,0,0,23,29,0,0,0,0,0,99,0,38,0,0,0,0,127,0,0,9,0,0,73,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,GARDNER LAKE (id:16008),1998,160081998,4,0,0,46,15,0,106,0,0,0,0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,25,0,0,0,31,0,0,0,0,0,63,1,0,32,42,0,0,0,0,0,130,0,4,0,0,0,0,95,0,0,16,0,0,69,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3601,GARDNER LAKE (id:16008),1999,160081999,3,0,0,68,13,0,43,0,2,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,17,0,0,24,0,0,0,28,0,0,0,0,0,65,0,0,31,24,0,0,0,0,0,177,0,3,0,0,0,0,28,0,0,17,0,0,92,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
