OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
1877,DRY BROOK (id:16616),1989,166161989,29,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,DRY BROOK (id:16616),2010,166162010,24,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,PODUNK RIVER (id:16973),1989,169731989,50,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,19,0,8,7,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2835,PODUNK RIVER (id:17908),2010,179082010,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2850,SCANTIC RIVER (id:17929),2010,179292010,38,32,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,78,27,0,0,0,0,0,0,0,0,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
4293,CT3  HARTFORD  CTRIVER (id:19380),1988,193801988,13,0,3,0,3,0,13,1,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,68,0,0,0,0,0,0,18,83,1,0,0,0,0,0,0,0,12,7,0,44,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4294,CT3  HARTFORD  CTRIVER (id:19380),1989,193801989,20,0,0,0,12,0,12,8,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,5,6,0,4,0,0,0,5,0,0,0,0,0,0,9,0,61,0,0,0,0,0,0,39,214,3,0,0,0,0,0,0,2,5,34,0,89,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4295,CT3  HARTFORD  CTRIVER (id:19380),1991,193801991,15,0,29,0,1,0,2,7,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,12,0,28,0,0,0,0,0,0,17,196,0,0,0,0,0,0,0,0,0,15,0,44,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4296,CT3  HARTFORD  CTRIVER (id:19380),2003,193802003,22,0,78,1,10,0,23,0,0,0,0,0,0,0,2,14,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,76,0,30,0,0,0,0,0,0,23,260,11,0,0,0,0,0,0,1,0,1,0,115,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
4297,CT3  HARTFORD  CTRIVER (id:19380),2007,193802007,22,0,85,0,2,0,7,3,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,16,0,9,0,0,0,0,0,0,24,233,20,0,0,0,0,0,0,0,0,0,0,152,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4298,CT3  HARTFORD  CTRIVER (id:19380),2011,193802011,14,0,35,0,6,0,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,20,1,0,0,0,0,0,0,0,20,572,3,0,0,0,0,1,0,0,0,19,0,67,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4608,FARM BROOK (id:19021),2016,190212016,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
