OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
40,EAST BRANCH NAUGATUCK RIVER (id:14179),1999,141791999,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,75,0,10,93,1,2,0,0,0,1,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,EAST BRANCH NAUGATUCK RIVER (id:14179),2011,141792011,0,0,0,0,0,0,1,0,0,361,0,1,0,0,0,0,0,0,104,0,32,156,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4482,EAST BRANCH NAUGATUCK RIVER (id:14179),2016,141792016,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,115,0,3,17,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,GULF STREAM (id:14217),2011,142172011,0,0,0,0,0,0,1,0,0,130,0,0,0,0,0,0,0,0,5,0,11,2,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,NAUGATUCK RIVER (id:14341),1992,143411992,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,116,0,20,151,22,1,0,0,0,3,0,0,0,0,229,0,0,0,0,0,0,0,2,24,0,0,1,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,NAUGATUCK RIVER (id:14341),1999,143411999,0,0,0,6,0,0,4,0,0,76,0,0,0,0,0,0,0,0,68,5,7,131,3,3,0,0,0,3,0,0,0,0,30,0,6,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,341,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,NAUGATUCK RIVER (id:14341),2006,143412006,0,0,0,0,0,0,1,0,0,110,0,0,0,0,0,0,0,0,145,0,2,20,0,0,0,0,0,0,0,0,0,0,44,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NAUGATUCK RIVER (id:14341),2011,143412011,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,277,0,9,652,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4467,NAUGATUCK RIVER (id:14341),2016,143412016,1,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,119,0,46,696,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,WEST BRANCH NAUGATUCK RIVER (id:14482),2006,144822006,1,0,0,88,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
