OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
709,STICKNEY HILL BROOK (id:14866),1994,148661994,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,STICKNEY HILL BROOK (id:14866),2002,148662002,0,0,0,2,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,STICKNEY HILL BROOK (id:14866),2007,148662007,0,0,0,4,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,STICKNEY HILL BROOK (id:14866),2014,148662014,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3326,MASHAPAUG LAKE (id:15085),1988,150851988,0,8,0,0,0,0,44,0,0,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,28,0,0,0,19,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3327,MASHAPAUG LAKE (id:15085),1990,150851990,0,0,0,0,0,0,41,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,50,0,0,0,105,0,0,0,0,0,68,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,MASHAPAUG LAKE (id:15085),1992,150851992,0,2,0,1,0,0,61,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,36,0,0,0,0,0,90,0,0,0,12,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,2,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3329,MASHAPAUG LAKE (id:15085),1997,150851997,0,0,0,0,0,2,122,0,0,0,0,27,0,0,0,0,0,0,0,9,0,0,4,0,0,0,3,1,0,0,1,0,0,0,49,0,0,0,0,0,138,0,0,0,52,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3330,MASHAPAUG LAKE (id:15085),1998,150851998,0,0,0,0,0,1,142,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,3,0,0,0,1,0,0,0,9,0,0,0,53,0,0,0,0,0,116,0,0,0,6,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,9,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3331,MASHAPAUG LAKE (id:15085),2000,150852000,0,0,0,0,0,0,158,0,1,0,0,40,0,0,0,0,0,0,0,10,0,0,14,0,0,0,10,2,0,0,34,0,0,0,44,0,0,0,0,0,90,0,0,0,16,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332,MASHAPAUG LAKE (id:15085),2003,150852003,0,8,0,0,0,2,225,0,0,0,0,8,0,0,0,0,0,0,0,34,0,0,0,0,0,0,16,0,0,0,3,0,0,0,142,0,0,0,0,0,115,0,0,0,6,0,0,0,0,0,54,0,0,0,0,0,0,5,0,0,0,0,0,1,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,MASHAPAUG LAKE (id:15085),2004,150852004,0,77,0,4,0,2,242,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,1,0,0,4,0,0,0,103,0,0,0,0,0,113,0,0,0,6,0,0,0,0,0,49,0,0,0,0,0,0,8,0,0,0,0,0,2,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3334,MASHAPAUG LAKE (id:15085),2005,150852005,0,43,0,0,1,6,154,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,2,0,0,0,11,2,0,0,4,0,0,0,56,0,0,0,0,0,62,0,0,0,16,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3335,MASHAPAUG LAKE (id:15085),2006,150852006,0,7,0,0,1,0,194,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,2,0,0,0,46,0,0,0,0,0,154,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,2,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3336,MASHAPAUG LAKE (id:15085),2007,150852007,0,1,0,0,2,0,233,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,1,0,0,2,0,0,0,117,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,5,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3337,MASHAPAUG LAKE (id:15085),2008,150852008,0,0,0,0,0,0,140,0,1,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,48,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,41,0,0,0,0,0,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3338,MASHAPAUG LAKE (id:15085),2010,150852010,0,0,0,0,0,0,543,0,0,0,0,108,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,1,0,0,5,0,0,0,118,0,0,0,0,0,128,0,0,0,5,0,0,0,0,0,68,0,0,0,0,0,0,4,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3339,MASHAPAUG LAKE (id:15085),2011,150852011,0,0,0,1,9,0,172,0,1,0,0,11,0,0,0,0,0,0,0,6,0,0,2,0,0,0,5,0,0,0,14,0,0,0,98,0,0,0,0,0,37,0,0,0,7,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3340,MASHAPAUG LAKE (id:15085),2014,150852014,0,0,0,0,1,1,392,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,2,0,0,0,11,0,0,0,8,0,0,0,115,0,0,0,0,0,83,0,0,0,1,0,0,0,0,0,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3341,MASHAPAUG LAKE (id:15085),2016,150852016,0,0,0,0,3,2,235,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,13,0,0,0,13,0,0,0,31,0,0,0,86,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,4,0,0,0,0,0,1,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4810,MASHAPAUG LAKE (id:15085),2017,150852017,0,0,0,0,4,1,397,0,0,0,0,67,0,0,0,0,0,0,0,7,0,0,3,0,0,0,11,0,0,0,32,0,0,0,101,0,0,0,0,0,163,0,0,0,6,0,0,0,0,0,39,0,0,0,0,0,0,13,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3567,BIGELOW POND (id:16006),1988,160061988,0,0,0,2,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3568,BIGELOW POND (id:16006),2004,160062004,1,0,0,1,12,0,313,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,59,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3569,BIGELOW POND (id:16006),2006,160062006,0,0,0,0,6,6,514,0,0,0,0,47,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,73,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3570,BIGELOW POND (id:16006),2007,160062007,0,4,0,0,36,4,1218,0,0,0,0,39,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,233,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3571,BIGELOW POND (id:16006),2008,160062008,0,0,0,1,16,0,587,0,6,0,0,45,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,229,0,0,0,0,0,111,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3572,BIGELOW POND (id:16006),2009,160062009,0,1,0,4,22,3,413,0,3,0,0,95,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,165,0,0,0,0,0,67,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3573,BIGELOW POND (id:16006),2011,160062011,0,3,0,0,12,3,106,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
