OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
400,TROUT BROOK (id:14479),2000,144792000,259,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,88,0,54,0,2,0,0,0,0,0,12,37,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,TROUT BROOK (id:14479),2008,144792008,60,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,TROUT BROOK (id:14479),2012,144792012,275,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,107,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,TROUT BROOK (id:14479),2017,144792017,158,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,128,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,TROUT BROOK (id:16389),1988,163891988,31,0,0,0,0,0,3,0,0,132,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,18,0,16,0,0,0,0,0,6,78,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,TROUT BROOK (id:16389),2008,163892008,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,TROUT BROOK (id:16390),2008,163902008,3,0,0,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,TROUT BROOK- TRIBUTARY TO (id:16391),2008,163912008,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,SOUTH BRANCH TROUT BROOK (id:16392),2008,163922008,4,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,NORTH BRANCH PARK RIVER (id:16400),2011,164002011,8,0,0,0,0,0,0,0,0,133,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
