OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3273,WETHERSFIELD COVE (id:14637),1988,146371988,37,0,16,0,15,0,39,98,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,5,0,9,12,0,0,0,0,0,48,0,0,0,0,0,63,0,0,20,0,0,0,0,0,0,2,429,2,0,0,0,0,2,0,0,0,33,0,86,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3274,WETHERSFIELD COVE (id:14637),1989,146371989,28,0,0,2,21,0,94,39,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,36,0,0,1,0,0,23,2,0,5,0,0,0,0,0,0,7,87,0,0,0,0,0,1,0,0,3,27,0,28,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3275,WETHERSFIELD COVE (id:14637),2000,146372000,24,0,0,1,6,0,41,16,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,2,0,0,50,0,0,6,0,0,0,0,0,0,4,94,1,0,0,0,0,0,0,0,0,5,0,20,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3276,WETHERSFIELD COVE (id:14637),2002,146372002,13,0,7,0,23,0,77,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,50,0,0,3,0,0,52,1,0,0,0,0,0,0,0,0,0,239,2,0,0,0,0,0,0,0,0,1,0,3,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3277,WETHERSFIELD COVE (id:14637),2003,146372003,11,0,0,0,24,0,46,17,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,29,0,0,2,0,0,48,2,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,6,0,13,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3278,WETHERSFIELD COVE (id:14637),2004,146372004,2,0,67,0,60,0,40,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,0,0,0,29,0,0,6,0,0,44,1,0,7,0,0,0,0,0,0,0,278,4,0,0,0,0,1,0,0,0,4,0,110,0,340,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
3279,WETHERSFIELD COVE (id:14637),2007,146372007,21,3,27,0,15,0,88,14,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,20,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,3,197,0,0,0,0,0,0,0,0,0,4,0,16,0,91,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,1,0,0,0
3280,WETHERSFIELD COVE (id:14637),2011,146372011,1,22,0,0,17,0,28,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,23,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,7,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3281,WETHERSFIELD COVE (id:14637),2014,146372014,9,0,14,1,64,0,75,19,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,16,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,0,396,1,0,0,0,0,1,0,0,0,0,0,10,0,128,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4826,WETHERSFIELD COVE (id:14637),2017,146372017,10,0,4,0,5,0,15,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,12,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0
1933,FOLLY BROOK (id:16665),1988,166651988,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101,0,5,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,FOLLY BROOK (id:16665),2011,166652011,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,FOLLY BROOK (id:18574),2011,185742011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066,GOFF BROOK (id:18576),2011,185762011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067,GOFF BROOK (id:18577),2011,185772011,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4052,CROW POINT COVE (id:19311),1988,193111988,24,0,18,1,14,0,28,167,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,41,0,0,1,0,0,20,0,0,1,0,0,0,0,0,0,0,299,4,0,0,0,0,0,0,0,0,37,0,45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0
4053,CROW POINT COVE (id:19311),1989,193111989,9,0,0,2,13,0,23,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,14,0,0,0,0,0,11,0,0,71,0,0,0,0,0,0,1,185,0,0,0,0,0,0,0,0,0,58,0,66,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4054,CROW POINT COVE (id:19311),2002,193112002,8,3,11,0,46,0,46,8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,20,2,0,0,0,0,0,62,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,553,3,0,0,0,0,0,0,0,0,0,0,51,0,139,0,0,0,0,0,0,0,0,91,0,0,0,0,0,1,4,0,0,0
