OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
1110,FRENCH BROOK (id:15592),1989,155921989,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4745,FRENCH BROOK (id:15592),2017,155922017,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3871,LOWER BOLTON LAKE (id:18271),1996,182711996,0,0,0,0,32,0,157,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,6,0,0,54,0,0,0,90,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3872,LOWER BOLTON LAKE (id:18271),2000,182712000,0,0,0,0,48,0,321,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,19,17,0,0,0,0,0,0,73,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,78,1,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3873,LOWER BOLTON LAKE (id:18271),2001,182712001,0,0,0,0,26,0,525,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,1,0,0,34,0,0,0,69,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,35,16,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3874,LOWER BOLTON LAKE (id:18271),2005,182712005,0,0,0,0,34,0,598,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,70,11,0,0,43,0,0,0,111,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,7,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3875,LOWER BOLTON LAKE (id:18271),2006,182712006,0,0,0,0,19,0,293,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,51,3,0,0,2,0,0,0,95,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3876,LOWER BOLTON LAKE (id:18271),2007,182712007,0,0,0,1,61,0,853,0,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,136,45,0,0,190,0,0,0,176,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,29,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3877,LOWER BOLTON LAKE (id:18271),2008,182712008,0,0,0,0,107,0,701,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,49,24,0,0,73,0,0,0,62,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,14,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,LOWER BOLTON LAKE (id:18271),2009,182712009,0,0,0,0,26,0,386,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,23,13,0,0,4,0,0,0,22,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,3,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3879,LOWER BOLTON LAKE (id:18271),2011,182712011,0,0,0,0,4,0,556,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,13,10,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3880,LOWER BOLTON LAKE (id:18271),2013,182712013,0,0,0,0,8,0,1089,0,0,0,0,0,0,0,0,0,7,0,0,61,0,0,0,0,0,0,81,23,0,0,1,0,0,0,114,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
