OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3297,LILLINONAH LAKE (id:14683),1989,146831989,0,47,0,21,20,0,68,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,101,0,0,0,0,0,48,32,0,138,0,0,0,0,0,0,111,48,1,0,0,0,0,0,0,1,1,433,0,64,9,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298,LILLINONAH LAKE (id:14683),1991,146831991,1,10,0,9,7,0,49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,14,6,0,123,0,0,0,0,0,0,102,11,0,0,0,0,0,0,0,0,13,99,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3299,LILLINONAH LAKE (id:14683),1993,146831993,0,0,0,17,19,0,134,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,0,0,1,0,14,0,0,0,0,0,0,319,0,0,2,0,0,40,2,0,50,0,0,0,0,0,0,246,80,0,0,0,0,0,0,0,0,4,475,0,49,9,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,LILLINONAH LAKE (id:14683),1997,146831997,0,8,0,3,57,0,149,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,48,0,0,1,0,0,22,11,0,379,0,0,0,0,0,0,156,20,0,0,0,0,0,0,0,1,3,449,0,76,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,LILLINONAH LAKE (id:14683),1998,146831998,0,107,0,0,34,0,114,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,43,0,0,0,0,0,19,6,0,159,0,0,0,0,0,0,105,20,0,0,0,0,0,0,0,0,2,494,0,46,9,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302,LILLINONAH LAKE (id:14683),1999,146831999,0,6,0,6,10,0,105,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,0,0,15,14,0,94,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,288,0,58,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,LILLINONAH LAKE (id:14683),2002,146832002,0,2,0,1,5,0,152,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,11,33,0,169,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,245,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304,LILLINONAH LAKE (id:14683),2003,146832003,0,0,0,1,14,0,289,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,39,101,0,96,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,2,537,0,25,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3305,LILLINONAH LAKE (id:14683),2008,146832008,0,0,0,4,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,18,14,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,225,0,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,LILLINONAH LAKE (id:14683),2010,146832010,0,1,0,0,3,0,192,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,46,31,0,227,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,571,0,28,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
