OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
1148,BLACKWELL BROOK (id:15719),2005,157192005,3,0,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4689,BLACKWELL BROOK (id:15719),2015,157192015,1,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,1,0,74,30,0,0,0,0,2,0,0,0,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,BLACKWELL BROOK (id:15720),2005,157202005,2,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,BLACKWELL BROOK (id:15720),2009,157202009,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,4,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,BLACKWELL BROOK (id:15720),2014,157202014,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,2,0,5,52,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,BLACKWELL BROOK (id:16459),2008,164592008,0,0,0,0,0,0,0,0,1,18,0,4,0,0,0,0,0,0,0,0,0,4,51,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,BLACKWELL BROOK (id:16520),1994,165201994,7,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,1,0,20,0,105,31,0,0,0,1,0,0,0,0,0,61,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,BUSH HILL BROOK (id:16543),1994,165431994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,COLD SPRING BROOK (id:16581),1994,165811994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,COLD SPRING BROOK (id:16581),2014,165812014,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
