OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
166,MILL RIVER (id:14300),1990,143001990,8,0,0,1,0,0,2,0,0,260,0,2,0,0,0,0,0,0,0,1,4,7,10,0,7,0,0,0,0,0,0,0,54,0,13,0,0,0,0,0,0,0,7,122,1,0,0,0,0,0,0,0,84,0,0,0,0,0,6,8,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,MILL RIVER (id:14300),1992,143001992,12,0,0,0,0,0,3,0,0,114,0,6,0,0,0,0,0,0,0,0,0,6,52,0,3,0,0,0,0,0,1,0,57,0,5,0,0,0,0,0,0,0,2,56,0,0,0,0,0,0,0,0,119,0,0,0,0,0,3,6,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,MILL RIVER (id:14301),2007,143012007,16,0,0,0,0,0,1,0,2,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,10,16,2,0,0,0,0,0,0,0,37,0,0,0,0,0,5,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,MILL RIVER (id:15013),2003,150132003,1,0,0,0,0,0,1,0,5,96,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,10,0,18,0,11,0,0,0,0,0,0,0,38,0,0,0,0,0,5,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,MILL RIVER (id:15013),2007,150132007,7,0,0,0,0,0,0,0,0,234,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,193,0,4,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,43,0,0,0,0,0,27,10,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,MILL RIVER (id:15013),2009,150132009,5,0,0,0,0,0,0,0,2,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,35,0,0,0,0,0,7,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,MILL RIVER (id:15013),2011,150132011,19,0,0,0,0,0,9,0,0,42,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,0,2,0,0,0,0,0,8,0,21,2,14,0,0,0,0,0,0,0,41,0,0,0,0,0,2,16,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,MILL RIVER (id:15013),2013,150132013,9,0,0,0,0,0,0,0,2,139,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,44,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,MILL RIVER (id:15177),2009,151772009,14,0,0,0,0,0,2,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,4,3,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,WILLOW BROOK (HAMDEN)-01 (id:15855),1990,158551990,15,0,0,3,0,0,1,0,5,53,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,26,18,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
