OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
200,NAUGATUCK RIVER (id:14319),2001,143192001,0,0,0,1,0,0,4,0,1,104,0,24,0,0,0,0,0,0,76,0,5,33,0,0,0,0,0,17,0,0,0,0,81,0,1,0,0,0,0,0,16,1,0,0,10,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4489,NAUGATUCK RIVER (id:14319),2016,143192016,1,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,160,0,12,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,NAUGATUCK RIVER (id:14348),1999,143481999,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,103,0,4,40,0,0,0,0,0,0,0,0,0,0,88,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,NAUGATUCK RIVER (id:14348),2011,143482011,0,0,0,0,0,0,7,0,0,179,0,0,0,0,0,0,0,0,154,0,52,59,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,BANTAM RIVER (id:15005),2003,150052003,0,0,0,0,0,0,10,0,0,115,0,5,0,0,0,0,0,0,0,0,35,135,85,0,0,0,0,4,0,0,1,0,7,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,BANTAM RIVER (id:15005),2006,150052006,0,0,0,0,0,0,47,0,0,113,0,1,0,0,0,0,0,0,0,0,40,63,22,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,3,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,BANTAM RIVER (id:15005),2011,150052011,0,0,0,0,0,0,40,0,1,100,0,0,0,0,0,0,0,0,0,0,7,66,59,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,BANTAM RIVER (id:15005),2013,150052013,0,0,0,0,0,0,14,0,0,67,0,0,0,0,0,0,0,0,0,0,11,31,12,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4659,BANTAM RIVER (id:15005),2016,150052016,0,0,0,0,0,0,1,0,0,191,0,0,0,0,0,0,0,0,0,0,14,77,18,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,SPRUCE BROOK (id:15035),1992,150351992,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
