OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
3199,HANOVER POND (id:14225),2012,142252012,19,0,0,2,7,0,206,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,51,0,0,0,0,0,45,5,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,100,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,HARBOR BROOK (id:14226),1999,142261999,3,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,HARBOR BROOK (id:14226),2007,142262007,19,0,0,3,0,0,8,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,2,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,HARBOR BROOK (id:14226),2011,142262011,28,0,0,0,0,0,6,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,1,2,0,0,0,189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,HARBOR BROOK (id:14226),2013,142262013,21,0,0,0,1,0,17,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,QUINNIPIAC RIVER (id:14413),1990,144131990,16,0,0,0,0,0,12,0,1,8,0,14,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,50,0,14,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,4,0,0,0,131,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,QUINNIPIAC RIVER (id:14413),1999,144131999,23,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,150,0,30,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,33,67,0,0,0,0,0,0,4,0,0,0,277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,QUINNIPIAC RIVER (id:14413),2007,144132007,17,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,4,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,QUINNIPIAC RIVER (id:14413),2013,144132013,47,0,0,0,0,0,16,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,CROW HOLLOW BROOK (id:15195),1990,151951990,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
