OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
177,MUDDY RIVER (id:14310),1990,143101990,109,0,0,0,0,0,0,0,0,119,0,6,0,0,0,0,0,0,0,0,0,136,46,0,0,0,0,0,0,0,13,0,124,0,47,0,0,0,0,0,4,0,0,46,0,0,0,0,0,31,0,0,78,0,0,0,0,0,0,1,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,MUDDY RIVER (id:15087),2006,150872006,50,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,8,0,0,18,0,2,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,MUDDY RIVER (id:15087),2007,150872007,45,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,0,1,5,1,0,0,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,MUDDY RIVER (id:15087),2011,150872011,46,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,4,0,3,2,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,MUDDY RIVER (id:15087),2013,150872013,27,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,14,0,0,34,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,MILL RIVER (id:15271),1990,152711990,4,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,69,0,5,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,MILL RIVER (id:15271),1992,152711992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,FIVEMILE BROOK (id:16178),2007,161782007,31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,EIGHTMILE BROOK (id:16179),2007,161792007,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,EIGHTMILE BROOK (id:16179),2014,161792014,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,QUINNIPIAC RIVER (id:16193),2007,161932007,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1463,QUINNIPIAC RIVER (id:16193),2010,161932010,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,10,0,1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,MILL RIVER (id:16412),2009,164122009,6,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
