OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
539,QUINEBAUG RIVER (id:14609),2014,146092014,6,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,LITTLE RIVER (id:15151),1994,151511994,8,0,0,0,0,0,18,0,0,118,0,0,0,0,0,0,0,0,0,35,0,99,133,1,0,0,0,2,0,0,0,0,143,0,37,0,0,0,0,0,7,0,0,113,0,0,0,0,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,184,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,LITTLE RIVER (id:15151),2005,151512005,12,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,18,0,0,0,1,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,LITTLE RIVER (id:15151),2009,151512009,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,LITTLE RIVER (id:15151),2011,151512011,1,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,6,0,2,8,0,0,0,0,6,0,0,0,0,48,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,FIVEMILE RIVER (id:16243),1994,162431994,6,0,0,2,0,0,15,0,0,0,0,2,0,0,0,0,0,1,0,10,0,137,47,0,0,0,0,25,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,FIVEMILE RIVER (id:16243),2009,162432009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,CADY BROOK (id:16551),1999,165511999,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4435,CADY BROOK (id:16551),2015,165512015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,MARY BROWN BROOK (id:16827),1994,168271994,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0,0,0,37,86,0,0,0,0,5,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
