OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
9,BLADDENS RIVER (id:14138),1999,141381999,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,27,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3485,HOUSATONIC LAKE (id:15823),1990,158231990,42,0,0,6,2,0,80,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,35,0,0,0,0,0,74,5,0,41,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,48,0,58,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3486,HOUSATONIC LAKE (id:15823),1991,158231991,52,1,0,3,1,0,44,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,46,0,0,2,0,0,0,54,0,0,0,0,0,105,4,0,54,0,0,0,0,0,0,17,7,2,0,0,0,0,0,0,0,0,10,0,47,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3487,HOUSATONIC LAKE (id:15823),1997,158231997,29,0,0,0,16,0,90,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,0,0,0,33,0,0,0,0,0,194,52,0,105,0,0,0,0,0,0,33,146,13,0,0,0,0,0,0,0,0,36,0,64,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3488,HOUSATONIC LAKE (id:15823),1998,158231998,39,1,0,1,4,0,37,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,120,0,0,3,0,0,0,41,0,0,0,0,0,88,46,0,70,0,0,0,0,0,0,75,14,11,0,0,0,0,0,0,0,0,13,0,104,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3489,HOUSATONIC LAKE (id:15823),2000,158232000,81,0,0,1,2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,56,119,0,121,0,0,0,0,0,0,54,14,3,0,0,0,0,0,0,0,1,0,0,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3490,HOUSATONIC LAKE (id:15823),2002,158232002,63,0,0,3,16,0,24,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,24,0,0,0,0,0,25,75,0,152,0,0,0,0,0,0,77,18,8,0,0,0,0,4,0,0,0,32,0,266,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3491,HOUSATONIC LAKE (id:15823),2003,158232003,175,0,0,0,9,0,58,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,78,18,0,32,1,0,0,0,0,0,37,22,1,0,0,0,0,1,0,0,2,47,0,147,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3492,HOUSATONIC LAKE (id:15823),2004,158232004,26,0,0,2,7,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,16,36,0,41,0,0,0,0,0,0,18,6,4,0,0,0,0,7,0,1,0,12,0,185,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3493,HOUSATONIC LAKE (id:15823),2005,158232005,48,0,0,0,3,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,24,37,0,21,1,0,0,0,0,0,18,4,5,0,0,0,0,1,0,0,0,15,0,143,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
