OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
178,MUDGE POND BROOK (id:14311),1999,143111999,0,0,0,3,0,0,3,0,0,27,0,0,0,0,0,0,0,0,12,0,95,29,0,0,0,0,0,1,0,0,0,0,10,0,12,0,0,0,0,0,20,2,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,MUDGE POND BROOK (id:14312),1992,143121992,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,34,0,33,113,15,0,0,0,0,12,0,0,0,0,20,0,9,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,MUDGE POND BROOK (id:14312),1999,143121999,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,WEBETUCK CREEK (id:14627),1992,146271992,0,0,0,0,0,0,0,0,0,121,0,2,0,0,0,0,0,0,123,0,7,99,11,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,4,9,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,HOUSATONIC RIVER (id:15004),2003,150042003,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,1,6,0,7,0,0,0,0,0,0,106,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,HOUSATONIC RIVER (id:15004),2006,150042006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,7,6,0,1,0,0,0,0,0,0,300,2,13,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,HOUSATONIC RIVER (id:15004),2007,150042007,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,238,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,HOUSATONIC RIVER (id:15004),2008,150042008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,7,0,1,27,0,0,0,0,0,117,2,47,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,HOUSATONIC RIVER (id:15004),2011,150042011,0,0,0,0,0,0,2,0,0,4,41,8,0,0,0,0,0,0,0,0,51,0,138,0,0,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,5,11,0,2,2,0,0,0,0,0,388,16,31,0,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,HOUSATONIC RIVER (id:15004),2012,150042012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,2,100,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,186,27,32,0,0,0,0,0,0,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,HOUSATONIC RIVER (id:15004),2013,150042013,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,2,8,0,3,6,0,0,0,0,0,208,0,4,0,0,0,0,0,0,6,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4658,HOUSATONIC RIVER (id:15004),2015,150042015,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,153,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,HATCH BROOK (id:15506),2004,155062004,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,HATCH BROOK (id:15506),2011,155062011,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,HATCH BROOK (id:15506),2012,155062012,0,0,0,0,0,0,0,0,1,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,HATCH BROOK (id:15506),2013,155062013,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,GUINEA BROOK (id:15507),2004,155072004,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,GUINEA BROOK (id:15507),2011,155072011,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,GUINEA BROOK (id:15507),2012,155072012,0,0,0,0,0,0,0,0,1,15,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,CARSE BROOK (id:16028),2007,160282007,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,CARSE BROOK (id:16028),2011,160282011,0,0,0,0,0,0,19,0,0,40,2,101,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,0,0,0,0,0,15,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,CARSE BROOK (id:16028),2012,160282012,0,0,0,0,0,0,0,0,0,20,0,102,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,HOUSATONIC RIVER (id:16065),2007,160652007,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,255,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,GUINEA BROOK (id:16103),2011,161032011,0,0,0,5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3694,MUDGE POND (id:16155),1989,161551989,2,0,0,8,7,2,368,0,0,0,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,5,0,0,0,0,0,0,67,0,0,0,0,0,31,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3695,MUDGE POND (id:16155),1991,161551991,2,0,0,27,2,0,235,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,30,0,0,0,0,0,0,196,0,0,0,0,0,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
