OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
289,POMPERAUG RIVER (id:14404),2006,144042006,1,0,0,0,2,0,7,0,0,3,0,1,0,0,0,0,0,0,19,0,0,19,28,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,POMPERAUG RIVER (id:14404),2008,144042008,1,0,0,0,3,0,5,0,0,56,0,0,0,0,0,0,0,0,18,0,7,0,10,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,POMPERAUG RIVER (id:14404),2011,144042011,1,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,0,3,1,0,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,POMPERAUG RIVER (id:14404),2013,144042013,3,0,0,0,0,0,30,0,1,10,0,2,0,0,0,1,0,0,5,0,2,5,57,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,0,0,1,0,10,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4481,POMPERAUG RIVER (id:14404),2015,144042015,5,0,0,0,1,0,4,0,0,38,0,5,0,0,0,0,0,0,3,0,15,42,59,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,0,11,3,0,0,1,0,65,0,0,0,4,0,19,0,0,0,0,0,0,2,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,TRANSYLVANIA BROOK (id:14474),1999,144741999,0,0,0,0,2,0,1,0,0,46,0,0,0,0,0,0,0,0,2,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,TRANSYLVANIA BROOK (id:14711),2001,147112001,1,0,0,0,0,0,3,0,5,142,0,1,0,0,0,0,0,0,0,0,60,86,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,TRANSYLVANIA BROOK (id:14711),2006,147112006,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,39,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,TRANSYLVANIA BROOK (id:14711),2011,147112011,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,86,15,42,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,TRANSYLVANIA BROOK (id:14711),2014,147112014,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,1,0,22,10,5,0,0,0,0,1,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4656,TRANSYLVANIA BROOK (id:14711),2016,147112016,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,TRANSYLVANIA BROOK (id:14712),2001,147122001,1,0,0,1,0,0,3,0,0,42,0,2,0,0,0,0,0,0,0,0,30,117,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,TRANSYLVANIA BROOK (id:14712),2014,147122014,3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,17,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4655,TRANSYLVANIA BROOK (id:14712),2016,147122016,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,55,10,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,POMPERAUG RIVER (id:15025),1991,150251991,7,0,0,0,0,0,5,0,0,106,0,1,0,0,0,0,0,0,209,0,6,139,22,0,0,0,0,1,0,0,0,0,95,0,0,0,0,0,0,0,4,20,0,2,1,0,0,0,0,0,3,0,30,0,0,0,0,0,2,3,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,POMPERAUG RIVER (id:15162),1991,151621991,24,0,0,0,0,0,1,0,0,110,0,0,0,0,0,0,0,0,130,0,10,123,113,0,0,0,0,1,0,0,0,0,84,0,9,0,0,0,0,0,14,78,0,53,1,0,0,0,0,0,83,0,89,0,0,0,0,0,0,2,0,0,0,143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,POMPERAUG RIVER (id:15517),2004,155172004,1,0,0,0,0,0,0,0,0,238,0,2,0,0,0,0,0,0,34,0,12,9,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,LITTLE POOTATUCK BROOK (id:15575),1991,155751991,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,LEE BROOK (id:15576),2006,155762006,0,0,0,0,0,0,4,0,0,160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,KETTLETOWN BROOK (id:15577),1991,155771991,0,0,0,1,0,0,4,0,0,25,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,KETTLETOWN BROOK (id:15577),2011,155772011,1,0,0,0,0,0,11,0,0,27,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,BULLET HILL BROOK (id:16333),2009,163332009,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4526,BULLET HILL BROOK (id:16333),2016,163332016,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,JEREMY BROOK (id:16783),1991,167831991,6,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,80,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4445,JEREMY BROOK (id:16783),2015,167832015,2,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319,PURCHASE BROOK (id:16984),1991,169841991,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
