OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
159,MIANUS RIVER (id:14293),1990,142931990,40,0,0,0,0,0,1,0,0,97,0,12,0,0,0,0,0,1,62,0,0,129,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,MIANUS RIVER (id:14293),2006,142932006,9,0,0,0,0,0,0,0,0,22,0,20,0,0,0,0,0,0,55,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,MIANUS RIVER (id:14293),2007,142932007,9,0,0,0,0,0,0,0,3,40,0,45,0,0,0,0,0,0,100,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,MIANUS RIVER (id:14293),2013,142932013,0,0,0,0,0,0,3,0,0,39,0,11,0,0,0,0,0,0,69,1,0,37,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,68,0,0,0,0,0,0,3,0,0,0,69,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,RIPPOWAM RIVER (id:14431),2007,144312007,69,0,0,0,0,0,0,0,1,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,RIPPOWAM RIVER (id:14432),1990,144321990,50,0,0,0,0,0,0,0,0,147,0,1,0,0,0,0,0,0,0,0,0,150,32,0,0,0,12,0,0,0,24,0,70,0,14,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,RIPPOWAM RIVER (id:14432),2007,144322007,44,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,RIPPOWAM RIVER (id:15110),2008,151102008,45,0,0,0,0,0,2,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,16,0,90,0,3,0,0,0,0,0,3,2,0,15,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,RIPPOWAM RIVER (id:15111),1990,151111990,29,0,0,0,1,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,113,60,0,0,0,5,0,0,0,0,0,83,0,5,0,0,0,0,0,3,0,0,48,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4672,RIPPOWAM RIVER (id:15111),2015,151112015,31,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,LAUREL RESERVOIR OUTLET (id:16287),2007,162872007,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,EAST BRANCH MIANUS RIVER (id:16622),1990,166221990,21,0,0,0,0,0,8,0,0,137,0,0,0,0,0,0,0,0,35,0,8,9,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4457,EAST BRANCH MIANUS RIVER (id:16622),2015,166222015,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,5,0,54,0,23,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,HAVILAND BROOK (id:16729),1990,167291990,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4438,HAVILAND BROOK (id:16729),2015,167292015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2172,MILL RIVER (id:16849),1990,168491990,6,0,0,1,1,0,31,0,0,94,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,1,13,0,11,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4458,MILL RIVER (id:16849),2015,168492015,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4622,MIANUS RIVER (id:18919),2015,189192015,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,5,0,0,0,26,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780,RIPPOWAM RIVER (id:19699),2017,196992017,74,0,0,0,0,0,1,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,114,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
