OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
169,MUDDY BROOK (id:14303),2000,143032000,10,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,MUDDY BROOK (id:14303),2012,143032012,37,0,0,0,0,0,5,0,0,123,0,2,0,0,0,0,0,0,0,0,0,145,118,0,0,0,0,3,0,0,0,0,23,0,1,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,112,109,0,0,0,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,STONY BROOK (id:14465),1988,144651988,155,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,1,0,3,8,0,0,0,0,0,4,16,0,8,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,STONY BROOK (id:14465),2000,144652000,13,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,STONY BROOK (id:14465),2012,144652012,91,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,32,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,MUDDY BROOK (id:14839),2002,148392002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,MUDDY BROOK (id:15742),2012,157422012,7,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,STONY BROOK (id:15747),2012,157472012,25,0,0,0,0,0,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,47,26,0,0,0,0,4,0,0,0,0,11,0,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,81,69,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,CONNECTICUT RIVER (id:15807),2002,158072002,1,0,5,0,0,0,32,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,4,0,0,0,0,0,0,30,525,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,CONNECTICUT RIVER (id:15807),2003,158072003,14,0,41,1,0,0,44,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,14,2,0,3,0,0,0,0,0,1,43,735,2,0,0,0,0,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,CONNECTICUT RIVER (id:15807),2004,158072004,27,0,26,0,6,0,14,0,0,0,0,0,0,0,3,10,0,0,0,1,0,0,61,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,2,15,0,1,0,0,0,0,0,0,38,716,6,0,0,0,0,0,0,0,0,0,0,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,CONNECTICUT RIVER (id:15807),2005,158072005,30,0,0,1,14,0,44,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,47,0,0,0,0,0,9,19,0,0,0,0,0,0,0,6,16,654,3,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3547,CT1  ENFIELD   CTRIVER (id:15972),1988,159721988,15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,0,64,0,4,0,0,0,0,0,0,52,380,0,0,0,0,0,0,0,0,0,0,0,15,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
