OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
184,NAUGATUCK RIVER (id:14316),1991,143161991,3,0,0,1,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,177,0,5,0,0,0,0,0,2,68,0,3,0,0,0,0,0,0,8,98,146,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,NAUGATUCK RIVER (id:14316),2002,143162002,3,0,0,1,0,0,5,0,0,62,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,3,0,0,0,0,0,77,2,0,183,0,0,0,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,NAUGATUCK RIVER (id:14316),2005,143162005,3,0,0,0,0,0,5,0,0,6,0,4,0,0,0,0,0,0,10,0,0,2,22,0,0,0,0,1,0,0,0,0,394,0,78,0,0,0,0,0,3,10,0,74,0,0,0,0,0,0,234,0,322,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,NAUGATUCK RIVER (id:14316),2006,143162006,1,0,0,0,0,0,2,0,2,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,11,0,27,5,0,0,0,0,0,55,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,NAUGATUCK RIVER (id:14316),2008,143162008,5,0,0,0,0,0,1,0,0,45,0,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,4,0,28,5,0,0,0,0,0,35,0,1,0,0,0,0,0,0,1,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,NAUGATUCK RIVER (id:14316),2011,143162011,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,130,0,1,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NAUGATUCK RIVER (id:14316),2013,143162013,25,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,2,1,0,10,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,NAUGATUCK RIVER (id:14316),2014,143162014,16,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,0,7,0,4,0,0,0,0,0,0,0,0,0,71,0,10,0,0,0,0,0,0,2,0,36,4,0,0,0,0,0,100,0,20,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4491,NAUGATUCK RIVER (id:14316),2016,143162016,28,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,23,0,31,0,0,0,0,0,7,8,0,55,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,NAUGATUCK RIVER (id:14321),2002,143212002,2,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0,27,0,1,10,0,0,0,0,0,0,0,0,0,0,58,0,7,0,0,0,0,0,4,42,0,127,0,0,0,0,0,0,23,0,62,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,NAUGATUCK RIVER (id:14322),2002,143222002,3,0,0,3,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,125,0,11,0,0,0,0,0,3,17,0,117,0,0,0,0,0,0,23,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,NAUGATUCK RIVER (id:14322),2005,143222005,11,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,137,0,7,0,0,0,0,0,0,16,0,56,3,0,0,0,0,0,47,0,95,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,NAUGATUCK RIVER (id:14825),2005,148252005,3,0,0,2,0,0,0,0,0,48,0,0,0,0,0,0,0,0,6,0,3,4,1,0,0,0,0,0,0,0,0,0,130,0,28,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,51,0,204,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,NAUGATUCK RIVER (id:14825),2011,148252011,7,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,0,0,11,0,2,95,42,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,11,0,28,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,BRANCH BROOK (id:15115),1991,151151991,0,0,0,2,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,9,0,12,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,7,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,BRANCH BROOK (id:15115),2007,151152007,3,0,0,0,0,0,4,0,0,94,0,2,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,1,0,0,0,0,8,0,3,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,34,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,MINOR POND OUTFLOW (id:16855),1992,168551992,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,NORTHFIELD BROOK (id:16924),1992,169241992,0,0,0,8,0,0,16,0,0,126,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,115,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2688,NORTHFIELD BROOK (id:17655),2011,176552011,0,0,0,1,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
