OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
66,FRENCH RIVER (id:14206),2009,142062009,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,FRENCH RIVER (id:14206),2011,142062011,8,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,QUINEBAUG RIVER (id:14410),1994,144101994,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,1,0,0,0,1,0,110,119,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,72,108,4,0,0,0,0,0,0,0,0,0,0,123,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,QUINEBAUG RIVER (id:14410),2009,144102009,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,QUINEBAUG RIVER (id:14410),2010,144102010,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,248,129,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,QUINEBAUG RIVER (id:14410),2014,144102014,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3282,WEST THOMPSON RESERVOIR (id:14662),1992,146621992,1,0,0,1,19,0,138,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,2,0,0,0,0,12,0,0,0,0,0,0,66,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,57,67,0,0,0,0,0,0,0,0,0,57,0,69,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3283,WEST THOMPSON RESERVOIR (id:14662),1993,146621993,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,15,0,30,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3284,WEST THOMPSON RESERVOIR (id:14662),1997,146621997,0,0,0,2,10,0,17,0,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,19,0,65,6,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,WEST THOMPSON RESERVOIR (id:14662),2003,146622003,0,0,0,0,56,0,154,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,2,0,0,0,0,14,0,0,0,0,0,0,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,73,0,0,0,0,0,0,0,0,0,19,0,135,4,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,WEST THOMPSON RESERVOIR (id:14662),2004,146622004,0,0,0,0,175,0,176,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,2,0,0,0,0,15,0,0,0,0,0,0,28,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,7,393,0,0,0,0,0,0,0,0,0,92,0,42,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,WEST THOMPSON RESERVOIR (id:14662),2012,146622012,0,0,0,3,6,0,320,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,7,0,0,0,0,3,0,0,0,0,0,0,63,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,17,71,0,0,0,0,0,0,0,0,0,12,0,92,8,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3288,WEST THOMPSON RESERVOIR (id:14662),2015,146622015,0,0,0,3,3,0,150,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,20,1,0,0,0,0,44,0,0,1,0,0,0,0,0,0,16,290,0,0,0,0,0,3,0,0,0,112,0,24,2,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4829,WEST THOMPSON RESERVOIR (id:14662),2017,146622017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,ROCKY BROOK (id:14863),1994,148631994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,ROCKY BROOK (id:14863),2002,148632002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,ROCKY BROOK (id:14863),2009,148632009,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,ROCKY BROOK (id:14863),2013,148632013,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,ROCKY BROOK (id:14863),2014,148632014,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3425,QUADDICK RESERVOIR (id:15633),1988,156331988,2,0,0,21,2,0,209,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3426,QUADDICK RESERVOIR (id:15633),1992,156331992,1,0,0,5,19,0,156,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,57,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3427,QUADDICK RESERVOIR (id:15633),1998,156331998,0,0,0,1,60,0,475,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,9,0,0,0,0,0,0,106,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3428,QUADDICK RESERVOIR (id:15633),1999,156331999,0,0,0,2,210,0,367,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,21,0,0,0,0,0,0,172,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3429,QUADDICK RESERVOIR (id:15633),2003,156332003,0,0,0,3,47,0,432,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3430,QUADDICK RESERVOIR (id:15633),2004,156332004,0,0,0,1,56,0,364,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,1,0,0,0,57,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3431,QUADDICK RESERVOIR (id:15633),2005,156332005,1,0,0,1,56,0,563,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,2,0,0,0,145,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3432,QUADDICK RESERVOIR (id:15633),2007,156332007,0,0,0,0,114,0,330,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,34,0,0,0,0,0,0,84,0,0,3,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,QUADDICK RESERVOIR (id:15633),2008,156332008,0,0,0,1,95,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,19,0,0,0,0,0,0,136,0,0,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3434,QUADDICK RESERVOIR (id:15633),2012,156332012,0,0,0,0,3,0,309,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,20,0,0,0,0,0,0,29,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,QUADDICK RESERVOIR (id:15633),2014,156332014,0,0,0,0,86,0,774,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,130,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
