OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
99,HOCKANUM RIVER (id:14241),2003,142412003,17,0,0,4,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,5,9,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HOCKANUM RIVER (id:14241),2008,142412008,6,0,0,0,0,0,1,0,0,23,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,HOCKANUM RIVER (id:14241),2012,142412012,28,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,55,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,HOCKANUM RIVER (id:14242),1989,142421989,8,0,0,1,0,0,3,0,0,6,0,0,0,0,0,14,0,0,0,0,0,17,84,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,HOCKANUM RIVER (id:14242),2008,142422008,18,0,0,0,0,0,2,0,1,11,0,5,0,0,0,1,0,0,0,2,0,1,60,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,HOCKANUM RIVER (id:14242),2011,142422011,17,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,8,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,TANKERHOOSEN RIVER (id:14470),2004,144702004,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,14,70,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,TANKERHOOSEN RIVER (id:14470),2011,144702011,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,15,81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,TANKERHOOSEN RIVER (id:14470),2013,144702013,0,0,0,0,0,0,0,0,0,37,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4475,TANKERHOOSEN RIVER (id:14470),2016,144702016,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,HOCKANUM RIVER (id:15048),2008,150482008,6,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
