OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
787,WEST BRANCH SAUGATUCK RIVER (id:15022),2003,150222003,18,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,SAUGATUCK RIVER (id:15370),1990,153701990,223,0,0,0,0,0,0,0,1,108,0,6,0,0,0,0,0,0,100,3,1,107,0,0,0,0,0,0,0,0,0,0,103,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,SAUGATUCK RIVER (id:15370),2007,153702007,74,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,57,0,8,95,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,SAUGATUCK RIVER (id:15370),2010,153702010,86,0,0,0,0,0,0,0,0,186,0,2,0,0,0,0,0,0,129,0,1,129,0,0,0,0,0,0,0,0,0,0,118,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,SAUGATUCK RIVER (id:15374),1990,153741990,55,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3436,SAUGATUCK RESERVOIR (id:15635),1988,156351988,0,0,0,0,5,0,107,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,63,0,0,0,0,0,7,12,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3437,SAUGATUCK RESERVOIR (id:15635),1990,156351990,11,0,0,0,3,0,115,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142,0,0,0,0,0,12,100,0,29,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3438,SAUGATUCK RESERVOIR (id:15635),1992,156351992,11,54,0,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117,0,0,0,0,0,8,99,0,60,7,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3439,SAUGATUCK RESERVOIR (id:15635),1996,156351996,0,24,0,0,0,0,135,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,7,15,0,65,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3440,SAUGATUCK RESERVOIR (id:15635),1998,156351998,6,108,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,39,0,0,0,0,0,57,43,0,135,6,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,19,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3441,SAUGATUCK RESERVOIR (id:15635),1999,156351999,4,45,0,0,0,0,127,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,2,0,0,0,26,0,0,0,0,0,25,21,0,73,7,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3442,SAUGATUCK RESERVOIR (id:15635),2000,156352000,6,159,0,1,0,0,214,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,29,27,0,87,14,0,0,0,0,0,65,0,0,0,0,0,0,10,0,0,0,73,0,21,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3443,SAUGATUCK RESERVOIR (id:15635),2001,156352001,5,11,0,1,0,0,165,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,21,0,0,0,0,0,10,22,0,43,28,0,0,0,0,0,63,0,1,0,0,0,0,11,0,0,0,6,0,8,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3444,SAUGATUCK RESERVOIR (id:15635),2003,156352003,2,349,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,19,0,0,0,0,0,8,14,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,22,0,0,0,2,0,11,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3445,SAUGATUCK RESERVOIR (id:15635),2008,156352008,1,4,0,1,0,0,67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,7,0,5,6,0,0,0,0,0,24,0,0,0,0,0,0,6,0,0,0,4,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3446,SAUGATUCK RESERVOIR (id:15635),2011,156352011,9,7,0,2,0,0,147,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,0,0,11,18,0,22,3,0,0,0,0,0,10,0,0,0,0,0,0,21,0,0,0,0,0,9,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3447,SAUGATUCK RESERVOIR (id:15635),2012,156352012,2,36,0,2,3,0,586,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,0,72,58,0,171,9,0,0,0,0,0,39,0,2,0,0,0,0,7,0,0,0,5,0,5,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3448,SAUGATUCK RESERVOIR (id:15635),2015,156352015,2,1,0,2,0,0,361,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,21,23,0,26,8,0,0,0,0,0,65,0,0,0,0,0,0,14,0,0,0,6,0,4,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
