OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
351,SHETUCKET RIVER (id:14451),2014,144512014,9,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,30,0,192,0,0,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,POTASH BROOK (id:15209),1993,152091993,4,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,132,0,0,0,0,5,0,0,0,0,105,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,20,0,0,0,0,0,0,1,0,0,0,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,BALLYMAHACK BROOK (id:16484),1993,164841993,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,BALLYMAHACK BROOK (id:16484),2010,164842010,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,COLD SPRING (id:16579),1993,165791993,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,100,0,0,0,0,0,82,0,0,0,0,0,96,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,INDIAN HOLLOW BROOK (id:16771),1993,167711993,5,0,0,15,0,0,3,0,0,85,0,1,0,0,0,0,0,0,0,0,0,35,122,0,0,0,1,2,0,0,0,0,74,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107,175,0,0,0,0,0,0,37,0,0,0,120,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,INDIAN HOLLOW BROOK (id:16771),2014,167712014,2,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,37,239,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,NATCHAUG RIVER (id:16885),1993,168851993,38,0,0,0,0,0,37,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,143,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,29,15,52,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4559,NATCHAUG RIVER (id:16885),2015,168852015,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,24,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,NATCHAUG RIVER (id:16886),1993,168861993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
