OBJECTID,Station ID,Sample Year,Sample ID,American Eel,Alewife,American Shad,Brown Bullhead,Black Crappie,Bridled Shiner,Bluegill Sunfish,Blueback Herring,Brook Trout - Stocked,Blacknose Dace,Bluntnose Minnow,Brown Trout - Stocked,Bluegill x Pumpkinseed Hybrid,Banded Sunfish,Bowfin,Common Carp,Channel Catfish,Creek Chubsucker,Cutlips Minnow,Chain Pickerel,Creek Chub,Common Shiner,Fallfish,Fathead Minnow,Fourspine Stickleback,Goldfish,Green Sunfish,Golden Shiner,Gizard Shad,Hogchoker,Banded Killifish,Brook Lamprey,Longnose Dace,Burbot,Largemouth Bass,Central Mudminnow,Mummichog,Northern Pike,Ninespine Stickleback,Pumpkinseed x Redbreast Hybrid,Pumpkinseed,Rock Bass,Redfin Pickerel,Redbreast Sunfish,Rainbow Trout - Stocked,Atlantic Salmon - Stocked,Slimy Sculpin,Swamp Darter,Striped Killifish,Sea Lamprey,Smallmouth Bass,Spottail Shiner,Tessellated Darter,Tidewater Silverside,Tomcod,Three Spine Stickleback,Tiger Trout - Stocked,Walleye,Brook Trout - Wild,Brown Trout - Wild,White Catfish,White Perch,Rainbow Trout - Wild,White Sucker,Yellow Bullhead,Yellow Perch,No fish in sample,Brook Silverside,Black Bullhead,Grass Carp,Hickory Shad,Inland Silverside,Koi,Kokanee Salmon,Menhaden,Striped Mullet,Mimic Shiner,Rainbow Smelt,Fat Sleeper Goby,Tench,White Crappie,Striped Bass,Mosquito Fish,Tiger Musky,Warmouth
226,NONEWAUG RIVER (id:14355),1991,143551991,2,0,0,2,0,0,51,0,0,115,0,6,0,0,0,0,0,0,0,0,90,174,97,0,0,0,0,2,0,0,9,0,128,0,33,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,12,19,0,0,0,162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,NONEWAUG RIVER (id:14355),2006,143552006,1,0,0,0,0,0,0,0,1,80,0,34,0,0,0,0,0,0,0,0,12,17,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,NONEWAUG RIVER (id:14355),2011,143552011,0,0,0,0,0,0,3,0,0,87,0,2,0,0,0,0,0,0,0,0,56,3,5,0,0,0,0,2,0,0,0,0,16,0,2,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,20,0,0,0,0,0,2,22,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4468,NONEWAUG RIVER (id:14355),2016,143552016,0,0,0,1,0,0,5,0,0,174,0,0,0,0,0,0,0,0,0,0,102,16,3,0,0,0,0,2,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,1,0,139,0,0,0,0,0,11,0,0,0,0,0,1,5,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,POMPERAUG RIVER (id:14403),2010,144032010,0,0,0,0,0,0,1,0,0,65,0,3,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,12,0,0,0,0,0,3,12,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,NONEWAUG RIVER (id:14870),2006,148702006,1,0,0,0,0,0,2,0,1,11,0,9,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,POMPERAUG RIVER (id:15012),2003,150122003,10,0,0,0,0,0,2,0,4,110,0,2,0,0,0,0,0,0,157,0,6,2,0,0,0,0,0,0,0,0,0,0,49,0,1,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,WEEKEEPEEMEE BROOK (id:15530),2004,155302004,0,0,0,0,0,0,0,0,1,473,0,12,0,0,0,0,0,0,0,0,37,6,24,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,8,30,0,0,0,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,WEEKEEPEEMEE BROOK (id:15530),2011,155302011,0,0,0,0,0,0,0,0,0,97,0,7,0,0,0,0,0,0,0,0,19,23,6,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4683,WEEKEEPEEMEE BROOK (id:15530),2016,155302016,0,0,0,0,0,0,0,0,0,33,0,8,0,0,0,0,0,0,0,0,56,11,3,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
